Headline,Body ID,Stance
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',2067,agree
ISIL Beheads American Photojournalist in Iraq,1547,unrelated
A Bunch Of Folks Are Passing Around This Hoax Video Of A Bird Pooping On Vladimir Putin,1006,unrelated
"ISIS Militants Have Contracted Ebola: Iraqi, Kurdish Media Reports",1921,unrelated
"Boko Haram Cease-Fire: Abducted Nigerian Schoolgirls To Be Released, Officials Say",1374,unrelated
"Bosnia: Seven underage girls return from five day school trip, pregnant",2248,agree
"Boko Haram: Kidnapped Girls Have Been Married Off, Truce Never Happened",1125,unrelated
Vice squad’s $1m win lights up Las Vegas,1791,agree
James Foley remembered as 'brave and tireless' journalist,1011,discuss
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),879,unrelated
"#Hairgate: Reports of iPhone 6 pulling out hair, beards, likely exaggerated",2088,discuss
20-Year-Old Quarter Pounder Looks About the Same,2474,agree
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,933,discuss
BREAKING: Soldier shot at War Memorial in Ottawa,892,unrelated
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,2403,unrelated
Christian Bale to play Steve Jobs in upcoming biopic,1226,disagree
CNN Airs Alleged Audio from Michael Brown Shooting,2187,unrelated
Lebanon 'holding IS leader's daughter and ex-wife',1789,unrelated
Alleged audio of Michael Brown shooting released,1692,discuss
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,1252,unrelated
Report—Jose Canseco accidentally shot at his home tonight,2352,discuss
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',2219,discuss
See the Crater a Meteorite Made in Nicaragua,2264,discuss
Isilkulskom student has gained superhero powers after shock,152,agree
